Name,CIty,State,Rank
"Aligarh Muslim University
More Details |  | ",Aligarh,Uttar Pradesh,33
"Amity University
More Details |  | ",Gautam Budh Nagar,Uttar Pradesh,30
"Amrita Vishwa Vidyapeetham
More Details |  | ",Coimbatore,Tamil Nadu,23
"Anna University
More Details |  | ",Chennai,Tamil Nadu,14
"AU College of Engineering (A)
More Details |  | ",Visakhapatnam,Andhra Pradesh,90
"Banasthali Vidyapith
More Details |  | ",Banasthali,Rajasthan,78
"Birla Institute of Technology and Science, Pilani
More Details |  | ",Pilani,Rajasthan,20
"Birla Institute of Technology
More Details |  | ",Ranchi,Jharkhand,48
"C.V. Raman Global University, Odisha
More Details |  | ",Bhubaneswar,Odisha,96
"Chandigarh University
More Details |  | ",Mohali,Punjab,32
"Chitkara University
More Details |  | ",Rajpura,Punjab,94
"Christ University
More Details |  | ",Bengaluru,Karnataka,93
"COEP Technological University
More Details |  | ",Pune,Maharashtra,77
"Defence Institute of Advanced Technology
More Details |  | ",Pune,Maharashtra,63
"Delhi Technological University
More Details |  | ",New Delhi,Delhi,27
"Dr. B R Ambedkar National Institute of Technology Jalandhar
More Details |  | ",Jalandhar,Punjab,58
"Graphic Era University
More Details |  | ",Dehradun,Uttarakhand,52
"Guru Gobind Singh Indraprastha University
More Details |  | ",New Delhi,Delhi,89
"Indian Institute of Engineering Science and Technology, Shibpur
More Details |  | ",Howrah,West Bengal,49
"Indian Institute of Information Technology Allahabad
More Details |  | ",Prayagraj,Uttar Pradesh,87
"Indian Institute of Space Science and Technology
More Details |  | ",Thiruvananthapuram,Kerala,51
"Indian Institute of Technology (Banaras Hindu University) Varanasi
More Details |  | ",Varanasi,Uttar Pradesh,10
"Indian Institute of Technology (Indian School of Mines) Dhanbad
More Details |  | ",Dhanbad,Jharkhand,15
"Indian Institute of Technology Bhilai
More Details |  | ",Raipur,Chhattisgarh,73
"Indian Institute of Technology Bhubaneswar
More Details |  | ",Bhubaneswar,Odisha,54
"Indian Institute of Technology Bombay
More Details |  | ",Mumbai,Maharashtra,3
"Indian Institute of Technology Delhi
More Details |  | ",New Delhi,Delhi,2
"Indian Institute of Technology Gandhinagar
More Details |  | ",Gandhinagar,Gujarat,18
"Indian Institute of Technology Guwahati
More Details |  | ",Guwahati,Assam,7
"Indian Institute of Technology Hyderabad
More Details |  | ",Hyderabad,Telangana,8
